"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"cmd","1","78","2203378917376","2404352","2150400","6288","C:\WINDOWS\system32\cmd.exe","Microsoft Corporation","0.046875","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows Command Processor","Microsoft? Windows? Operating System","Process","8",,"False",,"2716","Microsoft.Win32.SafeHandles.SafeProcessHandle","78","10700",".","0","","System.Diagnostics.ProcessModule (cmd.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","6288","6288","2150400","2150400","48392","48392","5312512","5312512","5324800","5324800","63840256","2203382063104","True","Normal","2150400","2150400","00:00:00.0468750","cmd","255","True","1","System.Diagnostics.ProcessStartInfo","27/10/2022 21:07:06",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00","60694528","2203378917376","False",,,,"2404352","2404352",,
"cmd","1","138","2203386167296","7938048","2871296","9280","C:\WINDOWS\system32\cmd.exe","Microsoft Corporation","0","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows Command Processor","Microsoft? Windows? Operating System","Process","8",,"False",,"2748","Microsoft.Win32.SafeHandles.SafeProcessHandle","138","19532",".","198370","Administrator: Command Prompt","System.Diagnostics.ProcessModule (cmd.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9280","9280","2871296","2871296","64840","64840","9220096","9220096","9039872","9039872","74260480","2203392483328","True","Normal","2871296","2871296","00:00:00","cmd","255","True","1","System.Diagnostics.ProcessStartInfo","26/10/2022 18:27:41",,"System.Diagnostics.ProcessThreadCollection","00:00:00","00:00:00","67944448","2203386167296","False",,,,"7938048","7938048",,
"cmd","1","60","2203372371968","3596288","2072576","5160","C:\WINDOWS\system32\cmd.exe","Microsoft Corporation","0.015625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows Command Processor","Microsoft? Windows? Operating System","Process","8",,"False",,"2768","Microsoft.Win32.SafeHandles.SafeProcessHandle","60","24288",".","2034322","Administrator: Command Prompt - powershell","System.Diagnostics.ProcessModule (cmd.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5160","5160","2072576","2072576","46360","46360","3239936","3239936","4399104","4399104","54149120","2203372371968","True","Normal","2072576","2072576","00:00:00.0156250","cmd","255","True","1","System.Diagnostics.ProcessStartInfo","27/10/2022 21:26:20",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","54149120","2203372371968","False",,,,"3596288","3596288",,
"Code","1","398","2234006003712","39309312","52207616","19968","C:\Users\Capta\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","3.875","1.72.2","1.72.2","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"896","Microsoft.Win32.SafeHandles.SafeProcessHandle","398","1616",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19968","19968","52207616","52207616","520968","520968","120283136","120283136","168931328","168931328","708444160","2234091438080","True","Normal","52207616","52207616","00:00:00.8593750","Code","255","True","1","System.Diagnostics.ProcessStartInfo","26/10/2022 19:51:14",,"System.Diagnostics.ProcessThreadCollection","00:00:03.8750000","00:00:03.0156250","623009792","2234006003712","False",,,,"39309312","39309312",,
"Code","1","276","2225345175552","19554304","54530048","18104","C:\Users\Capta\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","1.53125","1.72.2","1.72.2","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"2796","Microsoft.Win32.SafeHandles.SafeProcessHandle","276","2292",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18104","18104","54530048","54530048","520120","520120","62013440","62013440","87732224","87732224","640335872","2225433395200","True","Normal","54530048","54530048","00:00:00.8906250","Code","255","True","1","System.Diagnostics.ProcessStartInfo","26/10/2022 19:51:14",,"System.Diagnostics.ProcessThreadCollection","00:00:01.5312500","00:00:00.6406250","552116224","2225345175552","False",,,,"19554304","19554304",,
"Code","1","204","2225274011648","17506304","20135936","14376","C:\Users\Capta\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","0.234375","1.72.2","1.72.2","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"2828","Microsoft.Win32.SafeHandles.SafeProcessHandle","204","4152",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14376","14376","20135936","20135936","509592","509592","24743936","24743936","86425600","86425600","640335872","2225433395200","True","Normal","20135936","20135936","00:00:00.1875000","Code","255","True","1","System.Diagnostics.ProcessStartInfo","26/10/2022 22:09:57",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2343750","00:00:00.0468750","480952320","2225274011648","False",,,,"17506304","17506304",,
"Code","1","340","2225338085376","27279360","68050944","42552","C:\Users\Capta\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","3.859375","1.72.2","1.72.2","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"2852","Microsoft.Win32.SafeHandles.SafeProcessHandle","340","6548",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","42552","42552","68050944","68050944","533376","533376","90054656","90054656","150577152","150577152","640335872","2225433395200","True","Normal","68050944","68050944","00:00:00.6718750","Code","255","True","1","System.Diagnostics.ProcessStartInfo","26/10/2022 21:03:13",,"System.Diagnostics.ProcessThreadCollection","00:00:03.8593750","00:00:03.1875000","545026048","2225338085376","False",,,,"27279360","27279360",,
"Code","1","201","2225274011648","4747264","20922368","14376","C:\Users\Capta\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","0.171875","1.72.2","1.72.2","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"2884","Microsoft.Win32.SafeHandles.SafeProcessHandle","201","10380",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14376","14376","20922368","20922368","505496","505496","24469504","24469504","85360640","85360640","640335872","2225433395200","True","Normal","20922368","20922368","00:00:00.0468750","Code","255","True","1","System.Diagnostics.ProcessStartInfo","26/10/2022 21:03:21",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1718750","00:00:00.1250000","480952320","2225274011648","False",,,,"4747264","4747264",,
"Code","1","188","2225328029696","12201984","24334336","15496","C:\Users\Capta\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","0.234375","1.72.2","1.72.2","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"2904","Microsoft.Win32.SafeHandles.SafeProcessHandle","188","10932",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15496","15496","24334336","24334336","496168","496168","28033024","28033024","89149440","89149440","640335872","2225433395200","True","Normal","24334336","24334336","00:00:00.0937500","Code","255","True","1","System.Diagnostics.ProcessStartInfo","26/10/2022 21:03:13",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2343750","00:00:00.1406250","534970368","2225328029696","False",,,,"12201984","12201984",,
"Code","1","432","2240533188608","136327168","156471296","24144","C:\Users\Capta\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","84.875","1.72.2","1.72.2","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"2944","Microsoft.Win32.SafeHandles.SafeProcessHandle","432","11028",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24144","24144","156471296","156471296","743168","743168","267583488","267583488","286232576","286232576","742998016","2255600828416","True","Normal","156471296","156471296","00:00:26.3906250","Code","255","True","1","System.Diagnostics.ProcessStartInfo","26/10/2022 19:51:13",,"System.Diagnostics.ProcessThreadCollection","00:01:24.8750000","00:00:58.4843750","-1439739904","2240533188608","False",,,,"136327168","136327168",,
"Code","1","822","37405873623040","102506496","190971904","30768","C:\Users\Capta\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","28.78125","1.72.2","1.72.2","Visual Studio Code","Visual Studio Code","Process","10",,"False",,"2976","Microsoft.Win32.SafeHandles.SafeProcessHandle","822","16836",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30768","30768","190971904","190971904","1179360","1179360","368226304","368226304","379322368","379322368","1138573312","37406008754176","True","AboveNormal","190971904","190971904","00:00:08.8281250","Code","255","True","1","System.Diagnostics.ProcessStartInfo","26/10/2022 19:51:13",,"System.Diagnostics.ProcessThreadCollection","00:00:28.7812500","00:00:19.9531250","1003442176","37405873623040","False",,,,"102506496","102506496",,
"Code","1","205","2225274011648","6377472","20873216","14616","C:\Users\Capta\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","0.125","1.72.2","1.72.2","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"2476","Microsoft.Win32.SafeHandles.SafeProcessHandle","205","18620",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14616","14616","20873216","20873216","509592","509592","24657920","24657920","86593536","86593536","640335872","2225433395200","True","Normal","20873216","20873216","00:00:00.0625000","Code","255","True","1","System.Diagnostics.ProcessStartInfo","26/10/2022 22:28:44",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0625000","480952320","2225274011648","False",,,,"6377472","6377472",,
